id,logFC,AveExpr,t,P.Value,adj.P.Val,B,logFC_ratio,logFC_max_min,logFC_z_score
90632,0.337190253,3.0404852669999998,0.651396546,0.515136487,0.666176153,-6.799937162999999,0.04070078625160778,0.0407007862516076,-0.37416413876891197
101928616,0.035542073,-4.5877322430000005,0.650947343,0.515426146,0.666517209,-6.800227722000001,0.00429013087786983,0.004290130877869645,-0.774650067946102
9940,0.21808141399999997,0.013774355,0.650722767,0.515570991,0.666670976,-6.80037291,0.026323670206037608,0.02632367020603743,-0.5323000640714659
8310,0.124399791,5.01346866,0.650371638,0.5157975020000001,0.666930321,-6.800599814,0.015015764121852244,0.01501576412185206,-0.6566773165182807
390992,0.036296347,-4.563879111,0.650326979,0.515826315,0.666934029,-6.800628665,0.004381176050664742,0.004381176050664557,-0.7736486492611155
5608,0.17417064899999998,2.27817599,0.650191611,0.515913656,0.666989996,-6.800716102000001,0.02102339048410395,0.02102339048410377,-0.5905985876094041
9956,-0.268612701,-0.8135984409999999,-0.650114895,0.5159631579999999,0.666989996,-6.800765648,0.03242308468468106,0.03242308468468088,-0.4652117447362911
100874096,0.083154447,-4.4666482489999995,0.650041209,0.5160107070000001,0.666989996,-6.80081323,0.01003721591328931,0.010037215913289125,-0.7114370698046185
203259,0.101076056,4.378603488,0.650033513,0.516015673,0.666989996,-6.800818199,0.012200456311563483,0.0122004563115633,-0.6876432838360929
9124,-0.149275148,7.813649655,-0.6500330879999999,0.516015947,0.666989996,-6.800818474,0.01801836155514589,0.01801836155514571,-0.6236513242455631
101929698,-0.139418769,-3.6972478260000003,-0.650018613,0.516025289,0.666989996,-6.800827821,0.016828640407145105,0.016828640407144924,-0.6367372347991674
286319,-0.163782771,3.589783741,-0.649963442,0.516060891,0.667002474,-6.800863442000001,0.01976951437610809,0.019769514376107914,-0.6043901476082388
65996,0.080948163,4.57251102,0.649668335,0.516251354,0.667213167,-6.80105393,0.009770904853893585,0.0097709048538934,-0.7143662626735057
145258,-0.285536205,-2.144161475,-0.649630434,0.516275818,0.667213167,-6.801078389,0.03446584811809569,0.03446584811809551,-0.44274310188098237
100874238,-0.131283121,-4.074734956,-0.649549991,0.516327743,0.667246727,-6.801130296,0.01584662130273665,0.01584662130273647,-0.6475386013074571
168090,0.148699189,-3.906430023,0.649256238,0.5165173820000001,0.66745824,-6.801319789,0.017948840019632557,0.017948840019632376,-0.6244160014111371
91608,0.243224877,0.322185167,0.64908889,0.5166254339999999,0.667564308,-6.801427704,0.029358629562315948,0.029358629562315768,-0.4989181184476358
92552,0.078051042,-4.547088563,0.64894893,0.516715811,0.6676475279999999,-6.801517936000001,0.009421205829331198,0.009421205829331014,-0.7182126515216788
5037,0.13382983099999998,8.506516954,0.648870034,0.51676676,0.667679798,-6.801568791,0.016154023721497643,0.016154023721497462,-0.6441574387866196
8209,0.343361401,-0.9328448509999999,0.648761392,0.516836924,0.667736888,-6.801638811,0.041445679004112806,0.041445679004112626,-0.36597095841930743
