Entrez.Gene,adj.P.Val,P.Value,logFC,ID,logFC_max_min
120400,0.502865,0.203,0.2380025,7951789,0.03625266373267265
120379,0.136979,0.0151,0.68029,7951672,0.10363486438053814
120237,0.544533,0.242,-0.1938125,7947129,0.02952034720410429
120227,0.795825,0.568,0.3492075,7946742,0.05319467005897823
120224,0.842968,0.649,0.0667225,7945169,0.010158271901643277
120114,0.48205200000000004,0.185,-0.36765,7943075,0.0560043724255345
120103,0.744679,0.488,0.10088,7950990,0.015362143859655805
120071,0.639677,0.349,0.2503475,7939620,0.03813341610979815
120066,0.714734,0.44299999999999995,0.22620500000000002,7946326,0.034455322609210665
120065,0.983181,0.951,0.0162525,7946323,0.0024692016324229828
119774,0.47647700000000004,0.18100000000000002,-0.21185500000000002,7937938,0.03226910984195663
119772,0.9464540000000001,0.858,-0.034527499999999996,7937944,0.005253385487584482
119765,0.966576,0.907,0.0190525,7939865,0.0028957797333505997
119764,0.490475,0.192,-0.2010175,7939867,0.030618024067384106
119749,0.820947,0.612,-0.12257,7939910,0.018666600648627237
119710,0.262042,0.0541,0.44123500000000004,7939411,0.06721499726723404
119695,0.5098560000000001,0.209,-0.184205,7946001,0.028056651095296408
119694,0.799658,0.575,-0.12035250000000002,7937973,0.018328766027624743
119692,0.182054,0.0267,-0.5505475000000001,7946004,0.0838686825021091
119687,0.621078,0.325,-0.28174499999999997,7937982,0.04291680393975345
119682,0.7946439999999999,0.565,-0.1639325,7937984,0.02496814946991958
119679,0.822311,0.614,-0.0816875,7937986,0.012438179501779629
119678,0.622816,0.327,-0.17373,7946019,0.02646079194986184
119587,0.256221,0.0519,-1.0328975,7936835,0.1573543778529791
119559,0.187669,0.0282,0.323175,7936641,0.04922863634026459
119548,0.296969,0.0679,-0.3306775,7930760,0.05037163712676797
119504,0.017384,0.000281,0.9668100000000001,7928300,0.14728599205117415
119467,0.8145180000000001,0.6,-0.098175,7937016,0.014950038944295375
119437,0.948225,0.8640000000000001,-0.034894999999999995,7931389,0.005309373863331231
119395,0.8254440000000001,0.62,-0.08949750000000001,7936111,0.013628027704724164
119392,0.618386,0.322,0.478285,7930299,0.07285953963843697
119391,0.549495,0.248,0.324745,7930311,0.04946782477542758
119369,0.43005,0.145,-0.191495,7934993,0.029167277650925808
119180,0.9995649999999999,0.9990000000000001,-0.00033999999999999997,7932864,4.494304991915963e-05
118987,0.9090389999999999,0.777,0.048205,7936559,0.00733714333595501
118980,0.3654,0.10300000000000001,0.9700675,7930148,0.1477822699668069
118932,0.566675,0.265,-0.2280625,7934898,0.034738311474379606
118924,0.354768,0.0971,0.47879499999999997,7935123,0.0729372377925345
118881,0.8277260000000001,0.624,0.0998475,7934544,0.015204843184938746
118856,0.610286,0.313,-0.236875,7936928,0.0360808898723884
118813,0.873042,0.703,0.050964999999999996,7929692,0.007757627464012233
118812,0.728386,0.462,-0.10397999999999999,7935510,0.01583442675711138
118788,0.41160699999999995,0.132,0.550755,7935337,0.08390029498637426
118738,0.831375,0.63,0.06671,7927383,0.01015636753512128
118670,0.315677,0.0767,-0.2616125,7931155,0.03984963121942302
118663,0.523274,0.221,-0.230055,7931062,0.035041867497986136
118611,0.700227,0.423,-0.169655,7936996,0.025839968463690396
118491,0.805769,0.585,0.238925,7934334,0.03639320598199612
118490,0.525787,0.223,-0.2344725,7934384,0.03571487062686033
118487,0.973988,0.927,0.014465,7928401,0.002196877219777227
118461,0.793545,0.564,-0.1001025,7927474,0.015243692261987511
118460,0.4286,0.14400000000000002,-0.2578375,8002344,0.03927451252977953
118442,0.567915,0.266,-0.28773000000000004,8080158,0.04382861463048625
118430,0.985701,0.9590000000000001,-0.0102125,7955963,0.001549011728993409
118429,0.073726,0.0047,-1.7655025000000002,8101260,0.26896625272086366
118427,0.951672,0.871,-0.047810000000000005,7918052,0.007276965353859866
118426,0.234619,0.0437,0.45231750000000004,7954012,0.06890340862563774
118425,0.85515,0.672,-0.102335,8096027,0.015583812122816405
118424,0.877288,0.713,0.05223,7911444,0.00795034935603846
118421,0.8524079999999999,0.667,-0.1052875,8068057,0.016033623495312403
117608,0.068101,0.00398,0.9531725000000001,8110463,0.14520832817567403
117583,0.585195,0.284,-0.40708,8047709,0.06201150618252591
117581,0.9109290000000001,0.78,-0.1397625,8180300,0.02128586636298369
117579,0.918811,0.7979999999999999,-0.0669575,8026265,0.010194073992256846
117532,0.731563,0.46799999999999997,-0.1755775,8060461,0.026742257321813186
117531,0.8998860000000001,0.758,-0.042725,8155824,0.00650226905271096
117289,0.7306189999999999,0.466,0.096725,8130539,0.014729132427743574
117286,0.801929,0.579,-0.10468,8035110,0.015941071282343285
117285,0.502865,0.203,-0.28557,8061509,0.043499540095484936
117283,0.997468,0.993,0.0013974999999999999,8125780,0.00020605245768021496
117248,0.84159,0.647,0.26332,8078155,0.04010976768632798
117247,0.277895,0.0597,0.9529675,8121515,0.14517709656471323
117246,0.36088899999999996,0.1,0.47566499999999995,8017437,0.07246038441542613
117245,0.773713,0.532,0.11606500000000002,7948973,0.01767556831057933
117196,0.764824,0.517,0.12164000000000001,7938746,0.018524915779390565
117195,0.8166439999999999,0.604,-0.1518475,7938741,0.023127007916451635
117194,0.97021,0.9159999999999999,0.026002499999999998,7947096,0.003954607519581648
117178,0.11276199999999999,0.0103,0.9065,7917255,0.1380978044558368
117177,0.162109,0.0208,1.0964425,7957072,0.16703541550420958
117166,0.809852,0.5920000000000001,-0.0901425,7991927,0.013726293017259273
117159,0.771046,0.527,0.1162,7963845,0.017696135469016907
117157,0.8593790000000001,0.6779999999999999,0.0661375,7921900,0.010069147548413758
117156,0.9129280000000001,0.785,-0.0497875,8108995,0.007578236137639994
117155,0.342983,0.0903,0.4097075,7988163,0.062411804025449956
117154,0.8478020000000001,0.6579999999999999,0.077285,8168604,0.011767461612731834
117153,0.413934,0.134,-0.3206525,7974080,0.04884433517612534
117145,0.783224,0.547,0.1029525,7920114,0.01567788782900312
117144,0.629861,0.335,0.14245,7949553,0.021695305165213317
117143,0.022871000000000002,0.00049,0.8605125,7922008,0.13109164002140508
116988,0.44954700000000003,0.159,-0.34537249999999997,8137381,0.05261041041002915
116987,0.39779200000000003,0.12300000000000001,0.500155,8049448,0.07619141930532519
116986,0.62995,0.335,0.3166125,7964499,0.04822884391621549
116985,0.8227469999999999,0.615,-0.071605,7950197,0.01090211746513581
